"airport","flight_count","delay_count","avg_duration","avg_distance","total_distance","avg_depart_delay","avg_arrival_delay"
"11695",158,1901,52.9807692307692,119,18802,10.6666666666667,12.4358974358974
"11697",5812,75,163.783938814532,1047.07295251204,6085588,7.3504851004851,1.36102902833304
"11721",413,86,105.055825242718,538.934624697337,222580,-0.866504854368932,-5.5995145631068
"11775",445,26,86.7714932126697,410.465168539326,182657,4.04288939051919,1.42986425339367
"11778",180,81,78.5229885057471,348.244444444444,62684,-0.954285714285714,-7.14367816091954
"11823",511,15,84.3352941176471,335.3385518591,171358,0.0821917808219178,-2.4843137254902
"11865",88,6,78.9204545454545,347.170454545455,30551,5.63636363636364,1.18181818181818
"11867",62,159,84.9833333333333,404,25048,-2.53333333333333,-9.55
"11884",828,14,102.838787878788,604.248792270531,500318,4.18401937046005,1.29575757575758
"11898",90,9,73.2111111111111,284,25560,-0.5,2.84444444444444
"11905",59,42,60.0357142857143,140,8260,7.64912280701754,5
"11921",271,53,109.776119402985,559.918819188192,151738,5.90740740740741,5.12313432835821
"11953",234,44,73.0726495726496,298.538461538462,69858,5.74358974358974,3.34615384615385
"11973",304,87,90.2203389830509,399.960526315789,121588,2.69565217391304,-0.820338983050848
"11977",489,5,70.2561475409836,250.355828220859,122424,1.59631147540984,1.55532786885246
"11980",57,53,105.454545454545,561,31977,-3.91071428571429,-11.0545454545455
"11982",371,218,65.2770083102493,229.258760107817,85055,0.894736842105263,-3.8808864265928
"11986",928,127,85.7375271149675,385.259698275862,357521,1.42578548212351,-2.3590021691974
"11995",598,142,90.5278246205734,396.192307692308,236923,3.85858585858586,-0.63743676222597
"11996",631,23,98.0607028753994,470.038034865293,296594,2.05891719745223,-2.03035143769968
"12003",190,15,105.331578947368,600.815789473684,114155,-1.62105263157895,-3.74210526315789
"12007",88,8,71.7272727272727,241,21208,0.420454545454545,5.26136363636364
"12016",31,3,441.241379310345,3801,117831,-0.896551724137931,1.55172413793103
"12094",20,18,52.3,141,2820,-4.2,-5.9
"12129",84,12,50.421686746988,141.52380952381,11888,13.433734939759,10.8192771084337
"12156",141,1062,103.397163120567,556.560283687943,78475,0.638297872340426,-0.446808510638298
"12173",3780,8,168.327572454135,1245.80529100529,4709144,1.9869992040329,-1.90880085083754
"12177",53,2075,96.3396226415094,501,26553,-0.113207547169811,-2.24528301886792
"12191",4718,216,111.52531510361,697.867528613819,3292539,8.499147848317,2.39051484725486
"12197",721,62,150.370473537604,864.423023578363,623249,6.42757660167131,4.38718662952646
"12206",287,68,63.8785714285714,283.850174216028,81465,6.98576512455516,1.90714285714286
"12217",390,6,77.7429305912596,307.379487179487,119878,1.72307692307692,-2.66580976863753
"12255",53,946,75.377358490566,298,15794,-3.79245283018868,-2.86792452830189
"12264",2996,10,211.578382007385,1365.32009345794,4090499,6.04087102177554,-3.00201409869084
"12265",22,4331,133.818181818182,865.181818181818,19034,2.77272727272727,1.22727272727273
"12266",13211,147,135.313039492781,820.70910604799,10842388,7.49096867616797,1.7144603162478
"12278",698,33,104.636231884058,560.25787965616,391060,1.95086705202312,-1.73913043478261
"12280",201,40,72.1940298507463,306.208955223881,61548,1.14925373134328,-0.661691542288557
"12323",215,5,81.0327102803738,318.060465116279,68383,0.939252336448598,-1.04672897196262
"12335",58,625,56.7142857142857,168.551724137931,9776,-2.52631578947368,-8.75
"12339",2373,5,123.456586192291,696.39190897598,1652538,3.96109936575053,-2.41761965268954
"12343",53,30,55.6346153846154,156.150943396226,8276,4.17307692307692,2.5
"12389",221,139,121.522727272727,653.710407239819,144470,0.163636363636364,-3.48636363636364
"12391",366,92,120.989071038251,694.571038251366,254213,8.76775956284153,-1.1448087431694
"12402",503,35,61.727634194831,306.395626242545,154117,-1.93439363817097,-1.32007952286282
"12441",158,119,71.7658227848101,331.291139240506,52344,2.36075949367089,-5.63924050632911
"12448",654,427,88.7931570762053,393.37003058104,257264,-0.242283950617284,-6.98911353032659
"12451",1712,2841,108.468547912992,577.106308411215,988006,2.96187683284457,-1.18048206937096
"12478",8303,4,231.102119927317,1476.68095868963,12260882,7.61968085106383,-1.70187764990915
"12511",58,12,87.7586206896552,327,18966,-6.68965517241379,-8.53448275862069
"12519",75,111,63.3866666666667,259.4,19455,-8.25333333333333,-10.96
"12523",336,249,87.0969696969697,469.973214285714,157911,4.94242424242424,6.00909090909091
"12758",967,55,129.409937888199,908.669079627715,878683,0.144777662874871,-2.08074534161491
"12819",186,45,80.9,423.166666666667,78709,2.98360655737705,3.93888888888889
"12884",222,16,65.7534246575343,200.959459459459,44613,-1.81900452488688,0.228310502283105
"12888",53,4325,47.3461538461538,113,5989,0.365384615384615,-7.96153846153846
"12889",12688,13,150.609455292909,1015.29547604035,12882069,6.56700623864803,1.80385801249111
"12891",124,5763,52.8319327731092,140,17360,3.57142857142857,-1.14285714285714
"12892",17728,113,182.14431586113,1269.67503384477,22508799,5.27089941096511,0.532561833446789
"12896",436,27,81.2418604651163,393.5,171566,10.4467592592593,7.86744186046512
"12898",117,14,158.530434782609,988.74358974359,115683,5.45217391304348,3.17391304347826
"12915",198,96,61.5078534031414,201.666666666667,39930,-3.06806282722513,-8.7696335078534
"12945",587,89,88.3133561643836,358.683134582623,210547,0.571917808219178,-2.91267123287671
"12951",431,2459,82.0401891252955,335.890951276102,144769,4.71698113207547,1.44917257683215
"12953",8590,231,152.237007221499,803.287543655413,6900240,7.51310198300283,-1.52196045933467
"12954",774,274,120.322957198444,731.447028423773,566140,4.83182406209573,3.5136186770428
"12982",881,260,126.156036446469,911.760499432463,803261,0.972727272727273,-1.64123006833713
"12992",1048,54,98.9169082125604,499.685114503817,523670,3.92967244701349,-1.13333333333333
"13029",288,34,94.8426573426573,460.649305555556,132667,-0.680555555555556,-2.00699300699301
"13061",203,20,80.5279187817259,356.221674876847,72313,2.42424242424242,-3.39086294416244
"13076",166,4,60.2242424242424,172.204819277108,28586,7.27272727272727,5.20606060606061
"13127",53,123,82.9056603773585,461,24433,-4.79245283018868,-9.86792452830189
"13158",600,39,86.804054054054,457.976666666667,274786,6.64358108108108,2.54560810810811
"13184",142,985,73.1428571428571,233.964788732394,33223,4.51063829787234,5.22857142857143
"13198",3555,2694,119.578619909502,723.183966244726,2570919,3.21077878103837,-3.15073529411765
"13204",9047,57,151.177215189873,942.770089532442,8529241,4.9014521671655,-0.371863202309571
"13230",285,3046,111.80701754386,568.449122807017,162008,0.936842105263158,-5.52631578947368
"13232",7617,26,128.722953408792,805.270447682815,6133745,4.90801576872536,-2.72505922611213
"13241",84,359,61.0365853658537,222.52380952381,18692,10.0843373493976,10.280487804878
"13244",1520,35,106.828476821192,549.633552631579,835443,2.77843915343915,-3.04503311258278
"13256",238,44,84.8311688311688,392.5,93415,0.491379310344828,-5.64502164502164
"13264",243,65,103.55,540.716049382716,131394,1.57261410788382,-0.6875
"13277",309,13,74.8524590163934,282.275080906149,87223,3.62418300653595,1.47540983606557
"13290",151,160,93.3557046979866,459.741721854305,69421,-1.54666666666667,-8.60402684563758
"13296",577,1732,121.029772329247,617.254766031196,356156,6.66898954703833,-0.10507880910683
"13303",5958,685,169.858154832181,1059.19603893924,6310690,5.50664423885618,0.18350480688143
"13342",2642,19,117.597491448119,656.736184708554,1735097,2.47038724373576,-2.87115165336374
"13344",62,28,56.6774193548387,118,7316,0.483870967741935,-1.41935483870968
"13360",116,54,91.1465517241379,442,51272,4.76724137931035,-2.67241379310345
"13367",308,66,92.1287128712871,446.314935064935,137465,0.133986928104575,-4.57755775577558
"13377",279,88,82.8357664233577,343.666666666667,95883,3.62545454545455,2.2043795620438
"13422",437,32,92.392523364486,416.37528604119,181956,4.2737819025522,3.9696261682243
"13433",218,6,101.092165898618,528.633027522936,115242,-2.20276497695853,-4.97695852534562
"13459",26,57,78.6538461538462,303,7878,1.96153846153846,-4.38461538461539
"13476",241,140,75.4439655172414,300.033195020747,72308,4.23175965665236,2.61206896551724
"13485",838,25,83.8028673835125,362.992840095465,304188,2.15513126491647,-1.12066905615293
"13486",171,2614,108.204678362573,615.385964912281,105231,-1.12280701754386,-4.61988304093567
"13487",10584,1000,130.645943896892,786.537414965986,8324712,3.29094521714448,-3.09050416982563
"13495",3663,5,123.164015359298,747.007917007917,2736290,5.10320284697509,-1.37547997805815
"13502",6,142,69.3333333333333,196,1176,-5.66666666666667,-5.33333333333333
"13541",11,29,60.8181818181818,173,1903,1.90909090909091,0.727272727272727
"13577",507,1542,96.5474308300395,498.850098619329,252917,4.42687747035573,2.33399209486166
"13795",112,576,92.6607142857143,399,44688,9.40178571428571,11.4732142857143
"13796",4016,383,117.111417125689,731.378735059761,2937217,4.8648986740055,0.981221832749124
"13830",1823,435,156.683572216097,1170.8979703785,2134547,2.16363636363636,-1.33517089305402
